method,case,outage_k,outage_policy,outage_radius,rr_return_delta,rr_return_ci95,rr_vviol_delta,rr_ploss_delta,rr_return_better_seeds,rr_paper_score,st_return_delta,st_return_ci95,st_vviol_delta,st_ploss_delta,st_return_better_seeds,st_paper_score
fedgrid_topo_proto,141,6,,,0.07822924470986779,"[-0.016, 0.172]",0.0,-0.002037219914319458,1,1.614063406645787,0.07965506150119617,"[-0.013, 0.172]",0.0,-0.002074350559926981,1,1.6542163014565971
fedgrid_v4_cluster_distill,141,6,,,-0.03029902444104271,"[-0.136, 0.075]",0.0,0.0007890370948188269,1,-0.6444452331237087,-0.02706481008267042,"[-0.135, 0.081]",0.0,0.0007048127625695478,1,-0.5850821410274438
