case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,static,fedgrid_topo_proto,0.122,"[-0.013, 0.208]",0.0000,-0.00319,2/3,2.531
141,6,,,static,fedgrid_v4_cluster_distill,-0.051,"[-0.135, 0.081]",0.0000,0.00133,1/3,-1.074
