case,outage_k,outage_policy,outage_radius,topology_mode,rank,compare_label,return_delta,return_ci95_lo,return_ci95_hi,vviol_delta,ploss_delta,paper_score
141,6,,,random_reset,1,fedgrid_topo_proto,0.07822924470986779,-0.015707726381617503,0.17216621580135308,0.0,-0.002037219914319458,1.614063406645787
141,6,,,random_reset,2,fedgrid_v4_cluster_distill,-0.03029902444104271,-0.13550062968883494,0.07490258080674952,0.0,0.0007890370948188269,-0.6444452331237087
141,6,,,static,1,fedgrid_topo_proto,0.07965506150119617,-0.01257998517649117,0.1718901081788835,0.0,-0.002074350559926981,1.6542163014565971
141,6,,,static,2,fedgrid_v4_cluster_distill,-0.02706481008267042,-0.13497930422165294,0.0808496840563121,0.0,0.0007048127625695478,-0.5850821410274438
