compare_label,case,outage_k,outage_policy,outage_radius,topology_mode,n_seeds,episodes_per_seed,paper_score,alignment_drop_frac_max,return_diff_mean_across_seeds,return_diff_std_across_seeds,return_diff_ci95_lo,return_diff_ci95_hi,return_better_seed_count,return_win_rate,baseline_return_mean_across_seeds,compare_return_mean_across_seeds,return_pct_vs_baseline_mean,v_viol_lin_mean_diff_mean_across_seeds,v_viol_lin_mean_diff_std_across_seeds,v_viol_lin_mean_diff_ci95_lo,v_viol_lin_mean_diff_ci95_hi,v_viol_lin_mean_better_seed_count,v_viol_lin_mean_win_rate,baseline_v_viol_lin_mean_mean_across_seeds,compare_v_viol_lin_mean_mean_across_seeds,v_viol_lin_mean_pct_vs_baseline_mean,p_loss_mean_diff_mean_across_seeds,p_loss_mean_diff_std_across_seeds,p_loss_mean_diff_ci95_lo,p_loss_mean_diff_ci95_hi,p_loss_mean_better_seed_count,p_loss_mean_win_rate,baseline_p_loss_mean_mean_across_seeds,compare_p_loss_mean_mean_across_seeds,p_loss_mean_pct_vs_baseline_mean,n_components_mean_diff_mean_across_seeds,n_components_mean_diff_std_across_seeds,n_components_mean_diff_ci95_lo,n_components_mean_diff_ci95_hi,n_components_mean_better_seed_count,n_components_mean_win_rate,baseline_n_components_mean_mean_across_seeds,compare_n_components_mean_mean_across_seeds,n_components_mean_pct_vs_baseline_mean
fedgrid_topo_proto,141,6,,,random_reset,3,20,2.499149767989314,0.0,0.12160900511263502,0.12028950650678977,-0.015707726381617503,0.20836852591816948,2,0.6666666666666666,-3.2748409686655666,-3.153231963552931,3.748724651983975,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.0031669011748081976,0.003132539231947662,-0.005426263695785676,0.0004090553745213068,2,0.6666666666666666,0.08528231689233245,0.08211541571752425,-3.748724651983967,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_topo_proto,141,6,,,static,3,20,2.5307590154523827,0.0,0.12237651859002578,0.11824835103718484,-0.01257998517649117,0.207819432767685,2,0.6666666666666666,-3.255131345258961,-3.132754826668936,3.7961385231785756,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.0031868885049485866,0.0030793841415933548,-0.005411964394991797,0.0003276037806377925,2,0.6666666666666666,0.08476904544945212,0.08158215694450353,-3.7961385231785734,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,random_reset,3,20,-1.136646679926513,0.0,-0.054705993558292476,0.11337759113327227,-0.13550062968883494,0.07490258080674952,1,0.3333333333333333,-3.2748409686655666,-3.3295469622238585,-1.7049700198897664,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0014246352489138718,0.002952541435762295,-0.001950588041842426,0.00352866223148008,1,0.3333333333333333,0.08528231689233245,0.08670695214124631,1.7049700198897726,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,static,3,20,-1.0738629352850408,0.0,-0.05121635967899815,0.11573862833550486,-0.13497930422165294,0.0808496840563121,1,0.3333333333333333,-3.255131345258961,-3.3063477049379593,-1.6107944029275583,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0013337593666405822,0.003014026779570444,-0.0021054605222997945,0.0035150860474388902,1,0.3333333333333333,0.08476904544945212,0.08610280481609267,1.6107944029275643,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
