compare_label,seed,case,outage_k,outage_policy,outage_radius,topology_mode,n_episodes,alignment_drop_frac,return_diff_mean,baseline_return_mean,compare_return_mean,return_pct_vs_baseline,return_better_flag,return_preferred_direction,v_viol_lin_mean_diff_mean,baseline_v_viol_lin_mean_mean,compare_v_viol_lin_mean_mean,v_viol_lin_mean_pct_vs_baseline,v_viol_lin_mean_better_flag,v_viol_lin_mean_preferred_direction,p_loss_mean_diff_mean,baseline_p_loss_mean_mean,compare_p_loss_mean_mean,p_loss_mean_pct_vs_baseline,p_loss_mean_better_flag,p_loss_mean_preferred_direction,n_components_mean_diff_mean,baseline_n_components_mean_mean,compare_n_components_mean_mean,n_components_mean_pct_vs_baseline,n_components_mean_better_flag,n_components_mean_preferred_direction
fedgrid_v4_cluster_byzantine,0,141,6,,,random_reset,20,0.0,0.6416867167200524,-3.317508537785618,-2.6758218210655658,19.342428494498094,1,1,0.0,0.0,0.0,nan,0,-1,-0.01671059158125134,0.0863934515048338,0.06968285992358245,-19.342428494498066,1,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_byzantine,0,141,6,,,static,20,0.0,0.6428143321982402,-3.296195640990603,-2.6533813087923623,19.50170445602118,1,1,0.0,0.0,0.0,nan,0,-1,-0.016739956567662494,0.08583842815079697,0.06909847158313445,-19.50170445602116,1,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_distill,0,141,6,,,random_reset,20,0.0,0.11347527181342339,-3.317508537785618,-3.204033265972195,3.4204967529387655,1,1,0.0,0.0,0.0,nan,0,-1,-0.002955085203474553,0.0863934515048338,0.08343836630135924,-3.420496752938749,1,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_distill,0,141,6,,,static,20,0.0,0.11347011869764001,-3.296195640990603,-3.182725522292963,3.442457033998714,1,1,0.0,0.0,0.0,nan,0,-1,-0.002954951007751031,0.08583842815079697,0.08288347714304592,-3.442457033998701,1,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_dropout,0,141,6,,,random_reset,20,0.0,-0.08950460362110624,-3.317508537785618,-3.4070131414067255,-2.6979464438951855,0,1,0.0,0.0,0.0,nan,0,-1,0.0023308490526329933,0.0863934515048338,0.0887243005574668,2.6979464438952068,0,-1,0.0,1.0,1.0,0.0,0,-1
fedgrid_v4_cluster_dropout,0,141,6,,,static,20,0.0,-0.08872466447808829,-3.296195640990603,-3.384920305468692,-2.691729318937633,0,1,0.0,0.0,0.0,nan,0,-1,0.002310538137450212,0.08583842815079697,0.08814896628824716,2.6917293189376275,0,-1,0.0,1.0,1.0,0.0,0,-1
