compare_label,case,outage_k,outage_policy,outage_radius,topology_mode,n_seeds,episodes_per_seed,paper_score,alignment_drop_frac_max,return_diff_mean_across_seeds,return_diff_std_across_seeds,return_diff_ci95_lo,return_diff_ci95_hi,return_better_seed_count,return_win_rate,baseline_return_mean_across_seeds,compare_return_mean_across_seeds,return_pct_vs_baseline_mean,v_viol_lin_mean_diff_mean_across_seeds,v_viol_lin_mean_diff_std_across_seeds,v_viol_lin_mean_diff_ci95_lo,v_viol_lin_mean_diff_ci95_hi,v_viol_lin_mean_better_seed_count,v_viol_lin_mean_win_rate,baseline_v_viol_lin_mean_mean_across_seeds,compare_v_viol_lin_mean_mean_across_seeds,v_viol_lin_mean_pct_vs_baseline_mean,p_loss_mean_diff_mean_across_seeds,p_loss_mean_diff_std_across_seeds,p_loss_mean_diff_ci95_lo,p_loss_mean_diff_ci95_hi,p_loss_mean_better_seed_count,p_loss_mean_win_rate,baseline_p_loss_mean_mean_across_seeds,compare_p_loss_mean_mean_across_seeds,p_loss_mean_pct_vs_baseline_mean,n_components_mean_diff_mean_across_seeds,n_components_mean_diff_std_across_seeds,n_components_mean_diff_ci95_lo,n_components_mean_diff_ci95_hi,n_components_mean_better_seed_count,n_components_mean_win_rate,baseline_n_components_mean_mean_across_seeds,compare_n_components_mean_mean_across_seeds,n_components_mean_pct_vs_baseline_mean
fedgrid_v4_cluster_byzantine,141,6,,,random_reset,1,20,12.894952329665387,0.0,0.6416867167200524,0.0,0.6416867167200524,0.6416867167200524,1,1.0,-3.317508537785618,-2.6758218210655658,19.342428494498094,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.01671059158125134,0.0,-0.01671059158125134,-0.01671059158125134,1,1.0,0.0863934515048338,0.06968285992358245,-19.342428494498066,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_byzantine,141,6,,,static,1,20,13.001136304014112,0.0,0.6428143321982402,0.0,0.6428143321982402,0.6428143321982402,1,1.0,-3.296195640990603,-2.6533813087923623,19.50170445602118,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.016739956567662494,0.0,-0.016739956567662494,-0.016739956567662494,1,1.0,0.08583842815079697,0.06909847158313445,-19.50170445602116,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,random_reset,1,20,2.2803311686258385,0.0,0.11347527181342339,0.0,0.11347527181342339,0.11347527181342339,1,1.0,-3.317508537785618,-3.204033265972195,3.4204967529387655,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.002955085203474553,0.0,-0.002955085203474553,-0.002955085203474553,1,1.0,0.0863934515048338,0.08343836630135924,-3.420496752938749,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,static,1,20,2.2949713559991385,0.0,0.11347011869764001,0.0,0.11347011869764001,0.11347011869764001,1,1.0,-3.296195640990603,-3.182725522292963,3.442457033998714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.002954951007751031,0.0,-0.002954951007751031,-0.002954951007751031,1,1.0,0.08583842815079697,0.08288347714304592,-3.442457033998701,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_dropout,141,6,,,random_reset,1,20,-1.7986309625967973,0.0,-0.08950460362110624,0.0,-0.08950460362110624,-0.08950460362110624,0,0.0,-3.317508537785618,-3.4070131414067255,-2.6979464438951855,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0023308490526329933,0.0,0.0023308490526329933,0.0023308490526329933,0,0.0,0.0863934515048338,0.0887243005574668,2.6979464438952068,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_dropout,141,6,,,static,1,20,-1.7944862126250867,0.0,-0.08872466447808829,0.0,-0.08872466447808829,-0.08872466447808829,0,0.0,-3.296195640990603,-3.384920305468692,-2.691729318937633,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.002310538137450212,0.0,0.002310538137450212,0.002310538137450212,0,0.0,0.08583842815079697,0.08814896628824716,2.6917293189376275,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
