case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,random_reset,fedgrid_v4_cluster_byzantine,0.642,"[0.642, 0.642]",0.0000,-0.01671,1/1,12.895
141,6,,,random_reset,fedgrid_v4_cluster_distill,0.113,"[0.113, 0.113]",0.0000,-0.00296,1/1,2.280
141,6,,,random_reset,fedgrid_v4_cluster_dropout,-0.090,"[-0.090, -0.090]",0.0000,0.00233,0/1,-1.799
