method,case,outage_k,outage_policy,outage_radius,rr_return_delta,rr_return_ci95,rr_vviol_delta,rr_ploss_delta,rr_return_better_seeds,rr_paper_score,st_return_delta,st_return_ci95,st_vviol_delta,st_ploss_delta,st_return_better_seeds,st_paper_score
fedgrid_v4_cluster_byzantine,141,6,,,0.6416867167200524,"[0.642, 0.642]",0.0,-0.01671059158125134,1,12.894952329665387,0.6428143321982402,"[0.643, 0.643]",0.0,-0.016739956567662494,1,13.001136304014112
fedgrid_v4_cluster_distill,141,6,,,0.11347527181342339,"[0.113, 0.113]",0.0,-0.002955085203474553,1,2.2803311686258385,0.11347011869764001,"[0.113, 0.113]",0.0,-0.002954951007751031,1,2.2949713559991385
fedgrid_v4_cluster_dropout,141,6,,,-0.08950460362110624,"[-0.090, -0.090]",0.0,0.0023308490526329933,0,-1.7986309625967973,-0.08872466447808829,"[-0.089, -0.089]",0.0,0.002310538137450212,0,-1.7944862126250867
