algo,case,topology_mode,outage_k,outage_policy,outage_radius,n_seeds,return_mean,return_std,v_viol_lin_mean_mean,v_viol_lin_mean_std,p_loss_mean_mean,p_loss_mean_std,n_components_mean_mean,n_components_mean_std
fedgrid_none,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.0863934515048338,0.0,1.0,0.0
fedgrid_none,141,static,6,,,1,nan,nan,0.0,0.0,0.08583842815079695,0.0,1.0,0.0
fedgrid_v4_cluster_byzantine,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.06968285992358246,0.0,1.0,0.0
fedgrid_v4_cluster_byzantine,141,static,6,,,1,nan,nan,0.0,0.0,0.06909847158313445,0.0,1.0,0.0
fedgrid_v4_cluster_distill,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.08343836630135923,0.0,1.0,0.0
fedgrid_v4_cluster_distill,141,static,6,,,1,nan,nan,0.0,0.0,0.08288347714304592,0.0,1.0,0.0
fedgrid_v4_cluster_dropout,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.0887243005574668,0.0,1.0,0.0
fedgrid_v4_cluster_dropout,141,static,6,,,1,nan,nan,0.0,0.0,0.08814896628824716,0.0,1.0,0.0
