method,case,outage_k,outage_policy,outage_radius,rr_return_delta,rr_return_ci95,rr_vviol_delta,rr_ploss_delta,rr_return_better_seeds,rr_paper_score,st_return_delta,st_return_ci95,st_vviol_delta,st_ploss_delta,st_return_better_seeds,st_paper_score
fedgrid_topo_proto,141,6,,,0.09104861831194959,"[0.084, 0.097]",0.0,-0.0023710577685403557,3,1.8867221208775902,0.09179399806591736,"[0.089, 0.094]",0.0,-0.002390468699633266,3,1.9150385874142912
fedgrid_v4_cluster_distill,141,6,,,-0.1356594029727999,"[-0.297, 0.049]",0.0,0.0035327969524166663,1,-2.841250059069504,-0.13491907584262927,"[-0.296, 0.047]",0.0,0.0035135176000684657,1,-2.844145818292158
fedgrid_v4_cluster_gentle,141,6,,,-0.08501609937159184,"[-0.182, -0.016]",0.0,0.0022139609211352055,0,-1.7526774979476578,-0.0834838223088663,"[-0.180, -0.015]",0.0,0.002174057872626719,0,-1.7323852314790003
fedgrid_v4_cluster_nodistill,141,6,,,-0.13283258686760538,"[-0.161, -0.105]",0.0,0.0034591819496772197,0,-2.751042022642481,-0.1321416501225546,"[-0.159, -0.104]",0.0,0.0034411888052748502,0,-2.7543818756609135
