case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,static,fedgrid_topo_proto,0.092,"[0.089, 0.094]",0.0000,-0.00239,3/3,1.915
141,6,,,static,fedgrid_v4_cluster_gentle,-0.083,"[-0.180, -0.015]",0.0000,0.00217,0/3,-1.732
141,6,,,static,fedgrid_v4_cluster_nodistill,-0.132,"[-0.159, -0.104]",0.0000,0.00344,0/3,-2.754
141,6,,,static,fedgrid_v4_cluster_distill,-0.135,"[-0.296, 0.047]",0.0000,0.00351,1/3,-2.844
