compare_label,case,outage_k,outage_policy,outage_radius,topology_mode,n_seeds,episodes_per_seed,paper_score,alignment_drop_frac_max,return_diff_mean_across_seeds,return_diff_std_across_seeds,return_diff_ci95_lo,return_diff_ci95_hi,return_better_seed_count,return_win_rate,baseline_return_mean_across_seeds,compare_return_mean_across_seeds,return_pct_vs_baseline_mean,v_viol_lin_mean_diff_mean_across_seeds,v_viol_lin_mean_diff_std_across_seeds,v_viol_lin_mean_diff_ci95_lo,v_viol_lin_mean_diff_ci95_hi,v_viol_lin_mean_better_seed_count,v_viol_lin_mean_win_rate,baseline_v_viol_lin_mean_mean_across_seeds,compare_v_viol_lin_mean_mean_across_seeds,v_viol_lin_mean_pct_vs_baseline_mean,p_loss_mean_diff_mean_across_seeds,p_loss_mean_diff_std_across_seeds,p_loss_mean_diff_ci95_lo,p_loss_mean_diff_ci95_hi,p_loss_mean_better_seed_count,p_loss_mean_win_rate,baseline_p_loss_mean_mean_across_seeds,compare_p_loss_mean_mean_across_seeds,p_loss_mean_pct_vs_baseline_mean,n_components_mean_diff_mean_across_seeds,n_components_mean_diff_std_across_seeds,n_components_mean_diff_ci95_lo,n_components_mean_diff_ci95_hi,n_components_mean_better_seed_count,n_components_mean_win_rate,baseline_n_components_mean_mean_across_seeds,compare_n_components_mean_mean_across_seeds,n_components_mean_pct_vs_baseline_mean
fedgrid_topo_proto,141,6,,,random_reset,3,20,1.8867221208775902,0.0,0.09104861831194959,0.006497976378078427,0.08397942761299056,0.09676119533177867,3,1.0,-3.216159435315152,-3.1251108170032027,2.830083181316384,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.0023710577685403557,0.00016921813484579006,-0.0025198227950984026,-0.002186964260754967,3,1.0,0.08375415196133208,0.08138309419279173,-2.830083181316386,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_topo_proto,141,6,,,static,3,20,1.9150385874142912,0.0,0.09179399806591736,0.0027087054409854336,0.08891021493407802,0.0942846657292064,3,1.0,-3.195342273178063,-3.103548275112145,2.872557881121436,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.002390468699633266,7.053920419232314e-05,-0.002455329836698078,-0.002315370180574956,3,1.0,0.08321203836401204,0.0808215696643788,-2.8725578811214376,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,random_reset,3,20,-2.841250059069504,0.0,-0.1356594029727999,0.17405302844741913,-0.297330957936038,0.048574575404891816,1,0.3333333333333333,-3.216159435315152,-3.351818838287952,-4.2618750886042545,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0035327969524166663,0.0045326309491515405,-0.0012649629011690562,0.007742993696250994,1,0.3333333333333333,0.08375415196133208,0.08728694891374876,4.261875088604257,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,static,3,20,-2.844145818292158,0.0,-0.13491907584262927,0.17215713498190358,-0.2957363288155841,0.04668953821722612,1,0.3333333333333333,-3.195342273178063,-3.3302613490206916,-4.26621872743824,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0035135176000684657,0.004483258723487067,-0.0012158733910735957,0.007701466896239159,1,0.3333333333333333,0.08321203836401204,0.0867255559640805,4.266218727438234,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_gentle,141,6,,,random_reset,3,20,-1.7526774979476578,0.0,-0.08501609937159184,0.0868445433426917,-0.18249384760890455,-0.015892398608149682,0,0.0,-3.216159435315152,-3.301175534686743,-2.6290162469214864,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0022139609211352055,0.0022615766495492707,0.0004138645470872316,0.004752443948148567,0,0.0,0.08375415196133208,0.08596811288246729,2.6290162469214877,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_gentle,141,6,,,static,3,20,-1.7323852314790003,0.0,-0.0834838223088663,0.0862238201357318,-0.1801656557510342,-0.01455129393413306,0,0.0,-3.195342273178063,-3.2788260954869286,-2.5985778472185053,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.002174057872626719,0.002245411982701343,0.0003789399462013794,0.0046918139518498355,0,0.0,0.08321203836401204,0.08538609623663877,2.5985778472184955,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_nodistill,141,6,,,random_reset,3,20,-2.751042022642481,0.0,-0.13283258686760538,0.027972333222101745,-0.16094672014190758,-0.10500424365330367,0,0.0,-3.216159435315152,-3.3489920221827574,-4.126563033963724,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0034591819496772197,0.0007284461776588985,0.0027344855118047683,0.004191320837028827,0,0.0,0.08375415196133208,0.08721333391100931,4.12656303396372,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_nodistill,141,6,,,static,3,20,-2.7543818756609135,0.0,-0.1321416501225546,0.02730312859195967,-0.15898329717671122,-0.10439932812380266,0,0.0,-3.195342273178063,-3.3274839233006173,-4.131572813491376,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0034411888052748502,0.0007110189737489584,0.0027187325032240056,0.004140190030643516,0,0.0,0.08321203836401204,0.08665322716928688,4.131572813491366,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
