compare_label,case,outage_k,outage_policy,outage_radius,topology_mode,n_seeds,episodes_per_seed,paper_score,alignment_drop_frac_max,return_diff_mean_across_seeds,return_diff_std_across_seeds,return_diff_ci95_lo,return_diff_ci95_hi,return_better_seed_count,return_win_rate,baseline_return_mean_across_seeds,compare_return_mean_across_seeds,return_pct_vs_baseline_mean,v_viol_lin_mean_diff_mean_across_seeds,v_viol_lin_mean_diff_std_across_seeds,v_viol_lin_mean_diff_ci95_lo,v_viol_lin_mean_diff_ci95_hi,v_viol_lin_mean_better_seed_count,v_viol_lin_mean_win_rate,baseline_v_viol_lin_mean_mean_across_seeds,compare_v_viol_lin_mean_mean_across_seeds,v_viol_lin_mean_pct_vs_baseline_mean,p_loss_mean_diff_mean_across_seeds,p_loss_mean_diff_std_across_seeds,p_loss_mean_diff_ci95_lo,p_loss_mean_diff_ci95_hi,p_loss_mean_better_seed_count,p_loss_mean_win_rate,baseline_p_loss_mean_mean_across_seeds,compare_p_loss_mean_mean_across_seeds,p_loss_mean_pct_vs_baseline_mean,n_components_mean_diff_mean_across_seeds,n_components_mean_diff_std_across_seeds,n_components_mean_diff_ci95_lo,n_components_mean_diff_ci95_hi,n_components_mean_better_seed_count,n_components_mean_win_rate,baseline_n_components_mean_mean_across_seeds,compare_n_components_mean_mean_across_seeds,n_components_mean_pct_vs_baseline_mean
fedgrid_topo_proto,141,6,,,random_reset,1,20,-1.1158404521186622,0.0,-0.05444191027577148,0.0,-0.05444191027577148,-0.05444191027577148,0,0.0,-3.252669929791601,-3.3071118400673734,-1.6737606781779908,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0014177580800982207,0.0,0.0014177580800982207,0.0014177580800982207,0,0.0,0.08470494608832296,0.0861227041684212,1.6737606781779963,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_topo_proto,141,6,,,static,1,20,-1.1150972697480366,0.0,-0.054077469515093755,0.0,-0.054077469515093755,-0.054077469515093755,0,0.0,-3.2330494676524424,-3.2871269371675367,-1.6726459046220559,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0014082674352888986,0.0,0.0014082674352888986,0.0014082674352888986,0,0.0,0.08419399655344903,0.08560226398873792,1.672645904622054,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,random_reset,1,20,-2.038700301088166,0.0,-0.09946828747809813,0.0,-0.09946828747809813,-0.09946828747809813,0,0.0,-3.252669929791601,-3.3521382172697,-3.0580504516322407,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0025903199864088207,0.0,0.0025903199864088207,0.0025903199864088207,0,0.0,0.08470494608832296,0.08729526607473177,3.0580504516322575,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,static,1,20,-2.003097079776722,0.0,-0.09714167921142436,0.0,-0.09714167921142436,-0.09714167921142436,0,0.0,-3.2330494676524424,-3.330191146863867,-3.0046456196650824,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0025297312294641785,0.0,0.0025297312294641785,0.0025297312294641785,0,0.0,0.08419399655344903,0.08672372778291322,3.004645619665084,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_gentle,141,6,,,random_reset,1,20,-1.0807956997856467,0.0,-0.05273207509411273,0.0,-0.05273207509411273,-0.05273207509411273,0,0.0,-3.252669929791601,-3.305402004885715,-1.6211935496784722,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.001373231122242516,0.0,0.001373231122242516,0.001373231122242516,0,0.0,0.08470494608832296,0.0860781772105655,1.6211935496784682,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_gentle,141,6,,,static,1,20,-1.083391257152943,0.0,-0.05253986290796424,0.0,-0.05253986290796424,-0.05253986290796424,0,0.0,-3.2330494676524424,-3.285589330560407,-1.6250868857294067,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0013682255965615814,0.0,0.0013682255965615814,0.0013682255965615814,0,0.0,0.08419399655344903,0.08556222215001061,1.6250868857294216,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_nodistill,141,6,,,random_reset,1,20,0.1571813795925435,0.0,0.007668887203857255,0.0,0.007668887203857255,0.007668887203857255,1,1.0,-3.252669929791601,-3.245001042587745,0.23577206938881135,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.0001997106042671226,0.0,-0.0001997106042671226,-0.0001997106042671226,1,1.0,0.08470494608832296,0.08450523548405584,-0.2357720693888191,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_nodistill,141,6,,,static,1,20,0.1655756277142695,0.0,0.0080297129255676,0.0,0.0080297129255676,0.0080297129255676,1,1.0,-3.2330494676524424,-3.2250197547268753,0.24836344157140516,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.00020910710743665475,0.0,-0.00020910710743665475,-0.00020910710743665475,1,1.0,0.08419399655344903,0.08398488944601237,-0.2483634415714034,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
