case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,static,fedgrid_topo_proto,-0.106,"[-0.269, 0.016]",0.0000,0.00276,1/3,-2.276
141,6,,,static,fedgrid_v4_cluster_distill,-0.173,"[-0.359, 0.047]",0.0000,0.00451,1/3,-3.698
