case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,random_reset,fedgrid_topo_proto,-0.106,"[-0.267, 0.012]",0.0000,0.00277,1/3,-2.270
141,6,,,random_reset,fedgrid_v4_cluster_distill,-0.173,"[-0.357, 0.045]",0.0000,0.00451,1/3,-3.674
