case,outage_k,outage_policy,outage_radius,topology_mode,rank,compare_label,return_delta,return_ci95_lo,return_ci95_hi,vviol_delta,ploss_delta,paper_score
141,6,,,random_reset,1,fedgrid_topo_proto,-0.10640221466611655,-0.26724305423456063,0.012113476846007854,0.0,0.0027708910069301116,-2.270404385563713
141,6,,,random_reset,2,fedgrid_v4_cluster_distill,-0.1733041735717156,-0.3574592215971831,0.044911075931257316,0.0,0.004513129520096766,-3.674111367226509
141,6,,,static,1,fedgrid_topo_proto,-0.10585681326310326,-0.2693564916626984,0.01577112757437642,0.0,0.0027566878453933238,-2.27637594965374
141,6,,,static,2,fedgrid_v4_cluster_distill,-0.1731201037525796,-0.3586206681344688,0.04650512667892672,0.0,0.004508336035223438,-3.697693363604541
