stage,seed,label,cmd
train,2,fedgrid_none,'D:\Anaconda\envs\tianshou_env\python.exe' 'C:\Users\ASUS\Desktop\runtime_bundle\train_gnn_fedgrid.py' --save_dir 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\checkpoints' --log_dir 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\logs' --exp_name case141_fedgrid_none_seed2 --case 141 --gpu 0 --epochs 100 --val_episodes 5 --topology_mode random_reset --outage_k 6 --outage_policy local --outage_radius 2 --avoid_slack_hops 1 --topology_seed 2 --bus_gnn_scope global --mixer_gat_ramp_epochs 50 --mixer_gate_init_bias -5.0 --mixer_gnn_lr_scale 0.1 --mixer_gate_lr_scale 0.1 --edge_drop 0.1 --bus_gnn_lr_scale 0.1 --bus_gnn_use_base_topology --mixer_use_base_topology --fed_mode none
train,2,fedgrid_topo_proto,'D:\Anaconda\envs\tianshou_env\python.exe' 'C:\Users\ASUS\Desktop\runtime_bundle\train_gnn_fedgrid.py' --save_dir 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\checkpoints' --log_dir 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\logs' --exp_name case141_fedgrid_topo_proto_seed2 --case 141 --gpu 0 --epochs 100 --val_episodes 5 --topology_mode random_reset --outage_k 6 --outage_policy local --outage_radius 2 --avoid_slack_hops 1 --topology_seed 2 --bus_gnn_scope global --mixer_gat_ramp_epochs 50 --mixer_gate_init_bias -5.0 --mixer_gnn_lr_scale 0.1 --mixer_gate_lr_scale 0.1 --edge_drop 0.1 --bus_gnn_lr_scale 0.1 --bus_gnn_use_base_topology --mixer_use_base_topology --fed_mode topo_proto --fed_proto_source hybrid
train,2,fedgrid_v4_cluster_distill,'D:\Anaconda\envs\tianshou_env\python.exe' 'C:\Users\ASUS\Desktop\runtime_bundle\train_gnn_fedgrid.py' --save_dir 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\checkpoints' --log_dir 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\logs' --exp_name case141_fedgrid_v4_cluster_distill_seed2 --case 141 --gpu 0 --epochs 100 --val_episodes 5 --topology_mode random_reset --outage_k 6 --outage_policy local --outage_radius 2 --avoid_slack_hops 1 --topology_seed 2 --bus_gnn_scope global --mixer_gat_ramp_epochs 50 --mixer_gate_init_bias -5.0 --mixer_gnn_lr_scale 0.1 --mixer_gate_lr_scale 0.1 --edge_drop 0.1 --bus_gnn_lr_scale 0.1 --bus_gnn_use_base_topology --mixer_use_base_topology --fed_mode topo_proto --fed_proto_source hybrid --fed_clustered --fed_cluster_knn 2 --fed_cluster_threshold 0.58 --fed_max_clusters 4 --fed_inter_cluster_scale 0.08 --fed_cluster_self_boost 0.1 --fed_distill_coef 0.1 --fed_distill_steps 1 --fed_distill_batch_size 128 --fed_distill_same_cluster_only
eval,2,fedgrid_topo_proto,'D:\Anaconda\envs\tianshou_env\python.exe' 'C:\Users\ASUS\Desktop\runtime_bundle\evaluate_topology_shift_deterministic.py' --case 141 --baseline_ckpt 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\checkpoints\best_case141_fedgrid_none_seed2.pth' --gnn_ckpt 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\checkpoints\best_case141_fedgrid_topo_proto_seed2.pth' --baseline_name fedgrid_none --gnn_name fedgrid_topo_proto --episodes 20 --topology_seed 2 --eval_seed_base 1000 --outage_k 6 --outage_policy local --outage_radius 2 --avoid_slack_hops 1 --gpu 0 --out_dir 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\eval\fedgrid_topo_proto_seed2'
eval,2,fedgrid_v4_cluster_distill,'D:\Anaconda\envs\tianshou_env\python.exe' 'C:\Users\ASUS\Desktop\runtime_bundle\evaluate_topology_shift_deterministic.py' --case 141 --baseline_ckpt 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\checkpoints\best_case141_fedgrid_none_seed2.pth' --gnn_ckpt 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\checkpoints\best_case141_fedgrid_v4_cluster_distill_seed2.pth' --baseline_name fedgrid_none --gnn_name fedgrid_v4_cluster_distill --episodes 20 --topology_seed 2 --eval_seed_base 1000 --outage_k 6 --outage_policy local --outage_radius 2 --avoid_slack_hops 1 --gpu 0 --out_dir 'C:\Users\ASUS\Desktop\runtime_bundle\outputs\suites\case141_fedgrid_main_rr_20260402_clean\eval\fedgrid_v4_cluster_distill_seed2'
