compare_label,case,outage_k,outage_policy,outage_radius,topology_mode,n_seeds,episodes_per_seed,paper_score,alignment_drop_frac_max,return_diff_mean_across_seeds,return_diff_std_across_seeds,return_diff_ci95_lo,return_diff_ci95_hi,return_better_seed_count,return_win_rate,baseline_return_mean_across_seeds,compare_return_mean_across_seeds,return_pct_vs_baseline_mean,v_viol_lin_mean_diff_mean_across_seeds,v_viol_lin_mean_diff_std_across_seeds,v_viol_lin_mean_diff_ci95_lo,v_viol_lin_mean_diff_ci95_hi,v_viol_lin_mean_better_seed_count,v_viol_lin_mean_win_rate,baseline_v_viol_lin_mean_mean_across_seeds,compare_v_viol_lin_mean_mean_across_seeds,v_viol_lin_mean_pct_vs_baseline_mean,p_loss_mean_diff_mean_across_seeds,p_loss_mean_diff_std_across_seeds,p_loss_mean_diff_ci95_lo,p_loss_mean_diff_ci95_hi,p_loss_mean_better_seed_count,p_loss_mean_win_rate,baseline_p_loss_mean_mean_across_seeds,compare_p_loss_mean_mean_across_seeds,p_loss_mean_pct_vs_baseline_mean,n_components_mean_diff_mean_across_seeds,n_components_mean_diff_std_across_seeds,n_components_mean_diff_ci95_lo,n_components_mean_diff_ci95_hi,n_components_mean_better_seed_count,n_components_mean_win_rate,baseline_n_components_mean_mean_across_seeds,compare_n_components_mean_mean_across_seeds,n_components_mean_pct_vs_baseline_mean
fedgrid_topo_proto,141,6,,,random_reset,1,20,4.047605248437279,0.0,0.192002157259766,0.0,0.192002157259766,0.192002157259766,1,1.0,-3.1623992537957273,-2.970397096535962,6.071407872655924,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.005000056178639729,0.0,-0.005000056178639729,-0.005000056178639729,1,1.0,0.08235414723426374,0.07735409105562402,-6.071407872655912,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_topo_proto,141,6,,,static,1,20,4.033936695592638,0.0,0.19001928987857927,0.0,0.19001928987857927,0.19001928987857927,1,1.0,-3.1403449321385226,-2.9503256422599438,6.050905043388953,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,-0.004948419007254676,0.0,-0.004948419007254676,-0.004948419007254676,1,1.0,0.08177981594110736,0.0768313969338527,-6.050905043388962,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,random_reset,1,20,-0.8370022426892172,0.0,-0.03970402901558545,0.0,-0.03970402901558545,-0.03970402901558545,0,0.0,-3.1623992537957273,-3.202103282811314,-1.2555033640338098,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0010339590889475643,0.0,0.0010339590889475643,0.0010339590889475643,0,0.0,0.08235414723426374,0.08338810632321134,1.2555033640338418,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,static,1,20,-0.9107912231127685,0.0,-0.042902979026076316,0.0,-0.042902979026076316,-0.042902979026076316,0,0.0,-3.1403449321385226,-3.1832479111645995,-1.366186834669149,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.001117265078804077,0.0,0.001117265078804077,0.001117265078804077,0,0.0,0.08177981594110736,0.08289708101991143,1.3661868346691566,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_gentle,141,6,,,random_reset,1,20,-5.514645988778597,0.0,-0.2615926853979156,0.0,-0.2615926853979156,-0.2615926853979156,0,0.0,-3.1623992537957273,-3.4239919391936446,-8.271968983167897,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.006812309515570714,0.0,0.006812309515570714,0.006812309515570714,0,0.0,0.08235414723426374,0.08916645674983446,8.271968983167891,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_gentle,141,6,,,static,1,20,-5.521792952786462,0.0,-0.26010501773401773,0.0,-0.26010501773401773,-0.26010501773401773,0,0.0,-3.1403449321385226,-3.4004499498725402,-8.282689429179698,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0067735681701567045,0.0,0.0067735681701567045,0.0067735681701567045,0,0.0,0.08177981594110736,0.08855338411126408,8.282689429179687,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_nodistill,141,6,,,random_reset,1,20,-0.5697689319231122,0.0,-0.02702755267724468,0.0,-0.02702755267724468,-0.02702755267724468,0,0.0,-3.1623992537957273,-3.189426806472972,-0.8546533978846715,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.000703842517636575,0.0,0.000703842517636575,0.000703842517636575,0,0.0,0.08235414723426374,0.08305798975190032,0.8546533978846651,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_nodistill,141,6,,,static,1,20,-0.5963660239618017,0.0,-0.0280919253157208,0.0,-0.0280919253157208,-0.0280919253157208,0,0.0,-3.1403449321385226,-3.1684368574542434,-0.8945490359427066,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0007315605550968892,0.0,0.0007315605550968892,0.0007315605550968892,0,0.0,0.08177981594110736,0.08251137649620424,0.8945490359426984,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
