method,case,outage_k,outage_policy,outage_radius,rr_return_delta,rr_return_ci95,rr_vviol_delta,rr_ploss_delta,rr_return_better_seeds,rr_paper_score,st_return_delta,st_return_ci95,st_vviol_delta,st_ploss_delta,st_return_better_seeds,st_paper_score
fedgrid_topo_proto,141,6,,,0.192002157259766,"[0.192, 0.192]",0.0,-0.005000056178639729,1,4.047605248437279,0.19001928987857927,"[0.190, 0.190]",0.0,-0.004948419007254676,1,4.033936695592638
fedgrid_v4_cluster_distill,141,6,,,-0.03970402901558545,"[-0.040, -0.040]",0.0,0.0010339590889475643,0,-0.8370022426892172,-0.042902979026076316,"[-0.043, -0.043]",0.0,0.001117265078804077,0,-0.9107912231127685
fedgrid_v4_cluster_gentle,141,6,,,-0.2615926853979156,"[-0.262, -0.262]",0.0,0.006812309515570714,0,-5.514645988778597,-0.26010501773401773,"[-0.260, -0.260]",0.0,0.0067735681701567045,0,-5.521792952786462
fedgrid_v4_cluster_nodistill,141,6,,,-0.02702755267724468,"[-0.027, -0.027]",0.0,0.000703842517636575,0,-0.5697689319231122,-0.0280919253157208,"[-0.028, -0.028]",0.0,0.0007315605550968892,0,-0.5963660239618017
