case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,random_reset,fedgrid_topo_proto,0.192,"[0.192, 0.192]",0.0000,-0.00500,1/1,4.048
141,6,,,random_reset,fedgrid_v4_cluster_nodistill,-0.027,"[-0.027, -0.027]",0.0000,0.00070,0/1,-0.570
141,6,,,random_reset,fedgrid_v4_cluster_distill,-0.040,"[-0.040, -0.040]",0.0000,0.00103,0/1,-0.837
141,6,,,random_reset,fedgrid_v4_cluster_gentle,-0.262,"[-0.262, -0.262]",0.0000,0.00681,0/1,-5.515
