case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,static,fedgrid_topo_proto,0.190,"[0.190, 0.190]",0.0000,-0.00495,1/1,4.034
141,6,,,static,fedgrid_v4_cluster_nodistill,-0.028,"[-0.028, -0.028]",0.0000,0.00073,0/1,-0.596
141,6,,,static,fedgrid_v4_cluster_distill,-0.043,"[-0.043, -0.043]",0.0000,0.00112,0/1,-0.911
141,6,,,static,fedgrid_v4_cluster_gentle,-0.260,"[-0.260, -0.260]",0.0000,0.00677,0/1,-5.522
