compare_label,case,outage_k,outage_policy,outage_radius,topology_mode,n_seeds,episodes_per_seed,paper_score,alignment_drop_frac_max,return_diff_mean_across_seeds,return_diff_std_across_seeds,return_diff_ci95_lo,return_diff_ci95_hi,return_better_seed_count,return_win_rate,baseline_return_mean_across_seeds,compare_return_mean_across_seeds,return_pct_vs_baseline_mean,v_viol_lin_mean_diff_mean_across_seeds,v_viol_lin_mean_diff_std_across_seeds,v_viol_lin_mean_diff_ci95_lo,v_viol_lin_mean_diff_ci95_hi,v_viol_lin_mean_better_seed_count,v_viol_lin_mean_win_rate,baseline_v_viol_lin_mean_mean_across_seeds,compare_v_viol_lin_mean_mean_across_seeds,v_viol_lin_mean_pct_vs_baseline_mean,p_loss_mean_diff_mean_across_seeds,p_loss_mean_diff_std_across_seeds,p_loss_mean_diff_ci95_lo,p_loss_mean_diff_ci95_hi,p_loss_mean_better_seed_count,p_loss_mean_win_rate,baseline_p_loss_mean_mean_across_seeds,compare_p_loss_mean_mean_across_seeds,p_loss_mean_pct_vs_baseline_mean,n_components_mean_diff_mean_across_seeds,n_components_mean_diff_std_across_seeds,n_components_mean_diff_ci95_lo,n_components_mean_diff_ci95_hi,n_components_mean_better_seed_count,n_components_mean_win_rate,baseline_n_components_mean_mean_across_seeds,compare_n_components_mean_mean_across_seeds,n_components_mean_pct_vs_baseline_mean
fedgrid_topo_proto,141,6,,,random_reset,3,20,-0.4547447513997664,0.0,-0.019171352130493508,0.12852568693181002,-0.1590898849511036,0.09363596360868454,2,0.6666666666666666,-3.1575681396973727,-3.176739491827867,-0.6821171270996533,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0004992539617315951,0.0033470230971825474,-0.0024384365523094954,0.004142965753934977,2,0.6666666666666666,0.08222833697128575,0.08272759093301736,0.6821171270996458,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_topo_proto,141,6,,,static,3,20,-0.5020419797269106,0.0,-0.021173319887120522,0.1288920793692922,-0.16159720188851037,0.09174714657260567,2,0.6666666666666666,-3.1345373933464025,-3.1557107132335216,-0.7530629695903731,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.0005513885387270846,0.003356564566908654,-0.0023892486086616155,0.004208260465846618,2,0.6666666666666666,0.08162857795172923,0.0821799664904563,0.7530629695903585,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,random_reset,3,20,-3.972195109135461,0.0,-0.18652072250166873,0.0783436011947967,-0.23679835820166675,-0.09625249992935507,0,0.0,-3.1575681396973727,-3.344088862199042,-5.958292663703191,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.00485731048181429,0.002040197947781162,0.002506575518993624,0.006166623911501741,0,0.0,0.08222833697128575,0.08708564745310003,5.958292663703191,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
fedgrid_v4_cluster_distill,141,6,,,static,3,20,-4.039556446355284,0.0,-0.18825946946192484,0.0786445118536243,-0.2402204595387664,-0.09778090563558894,0,0.0,-3.1345373933464025,-3.322796862808327,-6.059334669532926,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.004902590350570962,0.002048034162854808,0.002546377750926787,0.0062557411338220485,0,0.0,0.08162857795172923,0.08653116830230019,6.059334669532927,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0
