case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,static,fedgrid_topo_proto,-0.021,"[-0.162, 0.092]",0.0000,0.00055,2/3,-0.502
141,6,,,static,fedgrid_v4_cluster_distill,-0.188,"[-0.240, -0.098]",0.0000,0.00490,0/3,-4.040
