method,case,outage_k,outage_policy,outage_radius,rr_return_delta,rr_return_ci95,rr_vviol_delta,rr_ploss_delta,rr_return_better_seeds,rr_paper_score,st_return_delta,st_return_ci95,st_vviol_delta,st_ploss_delta,st_return_better_seeds,st_paper_score
fedgrid_topo_proto,141,6,,,-0.019171352130493508,"[-0.159, 0.094]",0.0,0.0004992539617315951,2,-0.4547447513997664,-0.021173319887120522,"[-0.162, 0.092]",0.0,0.0005513885387270846,2,-0.5020419797269106
fedgrid_v4_cluster_distill,141,6,,,-0.18652072250166873,"[-0.237, -0.096]",0.0,0.00485731048181429,0,-3.972195109135461,-0.18825946946192484,"[-0.240, -0.098]",0.0,0.004902590350570962,0,-4.039556446355284
