case,outage_k,outage_policy,outage_radius,topology_mode,rank,compare_label,return_delta,return_ci95_lo,return_ci95_hi,vviol_delta,ploss_delta,paper_score
141,6,,,random_reset,1,fedgrid_topo_proto,-0.019171352130493508,-0.1590898849511036,0.09363596360868454,0.0,0.0004992539617315951,-0.4547447513997664
141,6,,,random_reset,2,fedgrid_v4_cluster_distill,-0.18652072250166873,-0.23679835820166675,-0.09625249992935507,0.0,0.00485731048181429,-3.972195109135461
141,6,,,static,1,fedgrid_topo_proto,-0.021173319887120522,-0.16159720188851037,0.09174714657260567,0.0,0.0005513885387270846,-0.5020419797269106
141,6,,,static,2,fedgrid_v4_cluster_distill,-0.18825946946192484,-0.2402204595387664,-0.09778090563558894,0.0,0.004902590350570962,-4.039556446355284
