algo,case,topology_mode,outage_k,outage_policy,outage_radius,n_seeds,return_mean,return_std,v_viol_lin_mean_mean,v_viol_lin_mean_std,p_loss_mean_mean,p_loss_mean_std,n_components_mean_mean,n_components_mean_std
fedgrid_none,141,random_reset,6,,,3,nan,nan,0.0,0.0,0.08222833697128575,0.002857288736445205,1.0,0.0
fedgrid_none,141,static,6,,,3,nan,nan,0.0,0.0,0.08162857795172923,0.002886533769587444,1.0,0.0
fedgrid_topo_proto,141,random_reset,6,,,3,nan,nan,0.0,0.0,0.08272759093301735,0.002153660792573147,1.0,0.0
fedgrid_topo_proto,141,static,6,,,3,nan,nan,0.0,0.0,0.08217996649045631,0.0021435587378739675,1.0,0.0
fedgrid_v4_cluster_distill,141,random_reset,6,,,3,nan,nan,0.0,0.0,0.08708564745310003,0.0017036214268423952,1.0,0.0
fedgrid_v4_cluster_distill,141,static,6,,,3,nan,nan,0.0,0.0,0.08653116830230019,0.001692213812514935,1.0,0.0
