case,outage_k,outage_policy,outage_radius,topology_mode,method,delta_return,ci95_return,delta_vviol,delta_ploss,better_seeds,paper_score
141,6,,,random_reset,fedgrid_topo_proto,-0.019,"[-0.159, 0.094]",0.0000,0.00050,2/3,-0.455
141,6,,,random_reset,fedgrid_v4_cluster_distill,-0.187,"[-0.237, -0.096]",0.0000,0.00486,0/3,-3.972
